X-Values,Y-Values
46.59065552350013,-3.202772554637468
47.642065651241005,-3.9335875391888577
47.7106591936512,-4.132131685094374
48.983128659677604,-5.233673714821419
49.024217800363594,-4.73084203824806
46.262448479249905,-4.738203988161409
47.63675485668928,-3.75332550512951
46.90397555553483,-2.685943836821918
47.66317136734484,-3.6203038874930304
47.11624281646086,-2.1234684261907937
47.14805331355328,-4.505930622413188
49.004939527454376,-5.016889632454424
47.14463438972032,-5.5089479776508865
47.73421855517297,-4.019422494409028
47.73335869052022,-3.832206620936202
46.45067908516044,-3.7734225190468966
48.9678475769926,17.931530622750735
50.12295433785893,18.250285051291513
48.641601588192444,18.665595609265765
49.15274594661648,16.955938668475547
49.928089707971914,18.654404300879705
49.99805715066986,18.530816209835432
49.12394156106858,17.587600057852956
50.655345039886434,17.75062179640327
49.29558161507814,20.30329339227907
49.86225469446961,18.783212762688397
51.120712627491216,19.406095923808394
49.63729653900264,16.71605501308148
48.235951818391804,19.69675005018575
48.09942392978557,17.120669177806548
47.58548358160446,17.776465344653037
48.710935056519716,18.510534008736045
49.72640605390913,17.656283859521558
50.519691313705806,17.136382106978328
50.176488469000404,19.359167841250287
49.619207262339245,18.964930028223367
48.15849255845089,19.927951160915576
50.05863743917622,18.3368845770541
49.09590173242534,20.420540171940505
48.16460354776236,15.228309102565008
49.654395941395265,3.2763586627436534
49.40583357277597,18.167882614736826
-21.301305240210123,-20.957035086332997
-26.256160700282855,-22.569854043839534
-21.76300051382656,-20.41090025018807
-19.06808699049365,-18.950215632081605
-21.185265569373023,-19.238017284810024
-24.52226672022274,-20.143219415859754
-22.940754250282634,-20.879400723934676
-23.4063722947818,-21.12222883500931
-23.974611524391186,-21.20247215770757
-18.419478663556045,-19.12452778451226
-27.262834573466556,-22.865765599729805
-23.305952022314404,-21.45638407942379
-23.540924341649447,-19.747897491918827
-20.040950348737027,-20.184762763400194
-22.24673047382533,-19.959440826198932
-22.482753089916848,-21.928031010173434
-22.607990284038145,-22.03291415715493
-24.503852950607676,-22.629961836590617
-22.324956303050282,-20.59878470925219
-22.962830468438035,-20.128867319293516
-14.04162449928813,-34.88079997572904
-14.080269198352575,-34.49841352980415
-13.762149033068647,-35.23781822783907
-14.48288618729305,-36.298131583390074
-14.339880603859504,-37.33094649516394
-13.800399303896782,-36.76199331630734
-16.920372168712827,-37.76826440646892
-11.874434054312891,-35.45789815413241
-15.707217219818952,-35.23671986783496
-15.381202238447854,-36.36509446769838
-15.077331311468486,-35.39177503186499
-11.844440757022976,-37.00216526133906
-18.284335534218624,-37.09943324744405
-14.631720125694649,-36.3500409019199
-16.235904803638874,-35.26826551426909
-14.143518106455197,-36.71813953481055
-15.203185869748966,-34.7556674744175
-13.321466033573985,-34.61771662113034
-15.415996996202308,-34.4791929992304
-26.555560180959546,20.568552872537044
-27.211535325832724,19.097291558093886
-39.20684724376952,33.612063088811325
-27.554346867820453,20.279745897862966
-44.819380779278745,13.986483424808872
-26.629142357494377,17.871745834397263
-26.3154183511911,16.81023978365825
-38.05946247231833,28.635332272831654
-24.889145860933617,15.690350351591157
-27.330540975132458,26.877447913707257
-37.03125047998381,30.51580016341647
-43.855159436849796,16.856308816383887
-44.54343746650627,14.826984800890164
-25.769519690837846,17.8971637765618
-22.524791734832625,18.5026171040577
-39.37282123681956,28.399813963841535
-26.82669039576783,17.872657127691262
-25.950643872810673,9.933958200399934
-26.6315655866706,14.249336034362852
-47.106968294659666,13.930333964854688
-38.45085221779664,30.52553634669133
-25.72116985783372,19.45851197721608
-26.486907670644506,11.83400081985169
-40.14936546516205,25.68090337128463
-40.24321835854299,7.592684843911661
-27.53689384924342,15.263730441401028
-26.93144055103968,16.079929556644508
-39.55132083325119,27.261511803023968
-27.369637754873054,16.01530388093522
-38.92717908928081,7.384078877995419
-39.89408072643779,26.750921697151497
-43.46280885901133,16.37957270413707
-39.72344609509016,7.439265680607298
-26.190237690448573,15.035826850535875
-44.371237692066835,13.611086653721063
-45.96155872892542,16.66360782179684
-26.507476854151033,14.318425105736077
-25.316690052841683,11.984758735184725
-40.821921802185344,5.651788426394922
